ID,name,location,type,adname,address,X,Y
495,老鲁数控凸轮车床加工厂,"116.813204,23.569190",公司企业;公司;冶金化工,澄海区,东铁路与文化路交叉口北180米,116.813204,23.56919
496,汕头市澄海区莲下乐桦彩印厂,"116.779503,23.503078",公司企业;公司;冶金化工,澄海区,莲下镇南洋工业城斜对面涂角场内,116.779503,23.503078
497,汕头市澄海区培淇服装厂,"116.814158,23.569600",公司企业;公司;冶金化工,澄海区,樟隆路东里镇第三中学北侧约120米,116.814158,23.5696
498,澄海区溪南工业区锦浩薄膜厂,"116.794979,23.533306",公司企业;公司;冶金化工,澄海区,溪南镇工业区清香阁隔壁,116.794979,23.533306
499,辉宏模具厂(牙箱模包注模),"116.789785,23.454497",公司企业;公司;冶金化工,澄海区,凤新二路与凤业一路交叉路口往西北约210米,116.789785,23.454497
500,汕头市澄海区雄胜达吸塑厂,"116.788960,23.491420",公司企业;公司;冶金化工,澄海区,莲下镇建阳大海门工业区第一大道松珍幼儿园隔壁,116.78896,23.49142
501,汕头市澄海区鸿兴塑胶新厂,"116.846113,23.584220",公司企业;公司;冶金化工,澄海区,G324(福昆线),116.846113,23.58422
502,汕头市澄海区昱利昌冷冻厂,"116.864894,23.605472",公司企业;公司;冶金化工,澄海区,福昆线利群兴北侧约230米,116.864894,23.605472
503,汕头市澄海区联发磨光复膜厂,"116.775803,23.504581",公司企业;公司;冶金化工,澄海区,莲下镇李厝宫内州工业区9号,116.775803,23.504581
504,汕头市澄海区生机盛橡胶制品厂,"116.723877,23.589435",公司企业;公司;冶金化工,澄海区,林盛大道澄海上北小学北侧约50米,116.723877,23.589435
505,汕头市澄海区金美佳铸造厂,"116.834480,23.566077",公司企业;公司;冶金化工,澄海区,东里镇官埕工业区6-7号,116.83448,23.566077
506,汕头市澄海区宝森纸品包装厂,"116.718092,23.494211",公司企业;公司;冶金化工,澄海区,上华镇渡头村,116.718092,23.494211
507,汕头市澄海区派英服装工艺厂,"116.738764,23.562156",公司企业;公司;冶金化工,澄海区,231省道与G15沈海高速出口交叉口南160米,116.738764,23.562156
508,广东胜雄玩具实业有限公司(分厂),"116.734948,23.469447",公司企业;公司;冶金化工,澄海区,G15(沈海高速),116.734948,23.469447
509,鸿基电子玩具加工厂,"116.713083,23.535973",公司企业;公司;冶金化工,澄海区,上华镇凤岭大道南,116.713083,23.535973
510,汕头市澄海区东里东发金属轧延厂,"116.835068,23.556031",公司企业;公司;冶金化工,澄海区,六合路与南和路交叉路口往东北约200米,116.835068,23.556031
511,岭海中小微企业创业园通用厂房,"116.843050,23.432169",公司企业;公司;冶金化工,澄海区,清平路与海源路交叉口西40米,116.84305,23.432169
512,铭兴,"116.774037,23.474830",公司企业;公司;冶金化工,澄海区,振兴路美新区19巷30号,116.774037,23.47483
513,澄海区坝头荣福工业区金炬压铸厂,"116.821142,23.433936",公司企业;公司;冶金化工,澄海区,539国道与601乡道交叉口东北240米,116.821142,23.433936
514,汕头市新宜制罐设备有限公司一厂,"116.783857,23.487299",公司企业;公司;冶金化工,澄海区,S231(莲凤路),116.783857,23.487299
515,汕头市澄海区东里彩霓包装印刷厂,"116.819012,23.568847",公司企业;公司;冶金化工,澄海区,支渠路塘西学校北侧约60米,116.819012,23.568847
516,汕头市澄海区凤翔信宁建青五金配件厂,"116.792716,23.458661",公司企业;公司;冶金化工,澄海区,信兴四马路十一直巷9号,116.792716,23.458661
517,汕头市澄海区莲河路北7巷澄海区永发工艺厂,"116.797181,23.461985",公司企业;公司;冶金化工,澄海区,莲河路78号,116.797181,23.461985
518,澄海市莲上镇宏发塑胶厂,"116.788970,23.518810",公司企业;公司;冶金化工,澄海区,福昆线涂城蔬菜批发市场西南侧约130米,116.78897,23.51881
519,汕头市金铎塑胶化工有限公司(隆都镇人民政府东北),"116.733205,23.579958",公司企业;公司;冶金化工,澄海区,S231与云路乡道交叉路口西南侧,116.733205,23.579958
520,广东省汕头市澄海区莲下镇渡亭村豪艺制袋厂,"116.789033,23.481030",公司企业;公司;冶金化工,澄海区,莲东一路与莲鸿路交叉路口往东约230米,116.789033,23.48103
521,宝妮日化公司,"116.753121,23.45997",公司企业;公司;冶金化工,澄海区,上埭工业区,116.753121,23.45997
522,云澳五金厂,"117.111828,23.400530",公司企业;公司;冶金化工,南澳县,云青公路荖园全球通希望小学南侧约150米,117.111828,23.40053
